URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-t-multiplicity-uicc,0.1.0,draft,,VS_TNM_T_Multiplicity_UICC,ValueSet TNM T Multiplicity UICC,"This ValueSet contains the TNM primary tumor multiplicity codes used with the m-symbol from TNM 8th edition UICC.",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-t-staging-type-loinc,0.1.0,draft,,VS_TNM_T_Staging_Type_LOINC,ValueSet TNM T Staging Type LOINC,"This ValueSet contains codes to specifiy the TNM primary tumor (T) category as clinical (cT) or pathological (pT).",,"LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/tnm-v-venous-invasion-uicc,0.1.0,draft,,VS_TNM_V_Venous_Invasion_UICC,ValueSet TNM V-Descriptor Venous Invasion UICC,"This ValueSet contains the TNM degree of venous invasion codes used with the V-descriptor from TNM 8th edition UICC.",,"Other"
https://www.vision-zero-oncology.de/fhir/ValueSet/topography-icd-o-3,0.1.0,draft,,VS_Topography_ICD_O_3,ValueSet Topography ICD-O-3,"The ValueSet contains the topography codes from ICD-O-3.",,"THO"
https://www.vision-zero-oncology.de/fhir/ValueSet/topography-snomed,0.1.0,draft,,VS_Topography_SNOMED,ValueSet Topography SNOMED,"The ValueSet contains the topography codes from SNOMED CT.",,"SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/tumor-area-units,0.1.0,draft,,VS_Tumor_Area_Units,ValueSet Tumor Size Units ValueSet,"Acceptable units for measuring tumor areas",,"UCUM"
https://www.vision-zero-oncology.de/fhir/ValueSet/tumor-measurement-methods,0.1.0,draft,,VS_Tumor_Measurement_Methods,ValueSet Tumor Measurement Methods,"Codes for methods of measuring tumor size, including physical examination, pathology, and imaging.",,"SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/tumor-size-units,0.1.0,draft,,VS_Tumor_Size_Units,ValueSet Tumor Size Units,"Acceptable units for measuring tumor size",,"UCUM"
https://www.vision-zero-oncology.de/fhir/ValueSet/tumor-volume-units,0.1.0,draft,,VS_Tumor_Volume_Units,ValueSet Tumor Size Units Value Set,"Acceptable units for measuring tumor volumes",,"UCUM"
https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-blinding-ncit,0.1.0,draft,,VS_TypeOfBlinding_NCIT,ValueSet Type of Blinding NCIt,"Type of Blinding aus NCI Thesaurus (NCIt)",,"hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-randomization-ncit,0.1.0,draft,,VS_TypeOfRandomization_NCIT,ValueSet Type of Randomization NCIt,"Type of Randomization aus NCI Thesaurus (NCIt)",,"hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/type-of-study-arm-ncit,0.1.0,draft,,VS_TypeOfStudyArm_NCIT,ValueSet Type of Study Arm NCIt,"Type of Study Arm aus NCI Thesaurus (NCIt)",,"hl7.terminology.r4"
https://www.vision-zero-oncology.de/fhir/ValueSet/vs-recsit-category-observation,0.1.0,draft,,VS_RECIST_Category_Observation,Valueset for Categories of a BodyStructure in the context of one RECIST procedure,"TODO",,"SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/vs-tnm-category-observation,0.1.0,draft,,VS_TNM_Category_Observation,Valueset for Categories of a BodyStructure in the context of one TNM procedure,"This Valueset contains the coded for the different categories for BodyStructures in the context of TNM (Tumor|Node|Metastase)",,"LOINC"
https://www.vision-zero-oncology.de/fhir/ValueSet/vs-tnm-radiological-read-procedure,0.1.0,draft,,VS_TNM_Radiological_Read_Procedures,Valueset for TNM Radiological Read Procedures,"This Valueset contains the snomed codes of the different TNM tumor staging systems",,"SCT"
https://www.vision-zero-oncology.de/fhir/ValueSet/vs_recist_radiological_read_procedure,0.1.0,draft,,VS_RECIST_Radiological_Read_Procedures,Valueset for RECIST Radiological Read Procedures,"TODO",,"SCT"
